Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-09-21 08:40:24,false,"Fairfax County Running","4.45","449","00:33:31","166","181","160","200","7:31","5:56","191","199","1.33","0.0","5,358","-13","No","00:03:24.6","5","00:33:29","00:33:31","305","394"
Running,2025-09-19 09:02:32,false,"Fairfax County Running","3.59","372","00:27:01","169","185","161","214","7:31","4:37","158","161","1.33","0.0","4,330","-12","No","00:04:21.1","4","00:26:59","00:27:01","312","394"
Running,2025-09-07 09:45:02,false,"Fairfax County Running","4.02","377","00:30:02","154","175","163","226","7:28","5:25","184","183","1.32","0.0","4,880","-7","No","00:00:06.1","5","00:30:01","00:30:02","302","394"
Running,2025-09-06 08:59:55,false,"Fairfax County Running","3.38","321","00:25:05","157","172","161","178","7:26","5:56","108","116","1.34","0.0","4,034","-7","No","00:02:42.2","4","00:25:04","00:25:05","316","394"
Running,2025-09-05 09:21:25,false,"Fairfax County Running","3.67","349","00:27:05","159","175","162","203","7:23","5:18","155","155","1.34","0.0","4,396","-8","No","00:04:44.7","4","00:27:04","00:27:05","312","394"
Running,2025-09-04 09:37:04,false,"Fairfax County Running","3.68","345","00:27:21","155","175","162","185","7:25","6:09","133","145","1.34","0.0","4,432","-7","No","00:05:00.4","4","00:27:20","00:27:21","312","394"
Running,2025-09-03 08:21:48,false,"Fairfax County Running","4.11","389","00:30:05","159","176","163","179","7:19","5:59","187","187","1.35","0.0","4,878","-8","No","00:00:51.9","5","00:30:04","00:30:05","304","394"
Running,2025-08-31 09:36:01,false,"Fairfax County Running","0.13","9","00:00:42.0","157","172","173","219","5:31","5:08","--","--","1.68","0.0","124","--","No","00:00:42.0","1","00:00:42.0","00:00:42.0","339","358"
Running,2025-08-31 09:33:49,false,"Fairfax County Running","0.19","16","00:01:12.5","163","169","169","187","6:18","5:44","--","--","1.51","0.0","204","-1","No","00:01:12.5","1","00:01:12.5","00:01:12.5","312","328"
Running,2025-08-31 08:47:39,false,"Fairfax County Running","6.21","575","00:45:30","155","176","162","176","7:19","6:05","196","209","1.35","0.0","7,382","-12","No","00:01:18.6","7","00:45:29","00:45:30","312","394"
Running,2025-08-29 08:45:00,false,"Fairfax County Running","3.55","345","00:25:05","155","--","--","--","7:04","--","155","--","--","0.0","--","--","No","00:25:05","1","--:--:--","00:25:05","--","--"
Running,2025-08-28 09:05:07,false,"Fairfax County Running","1.81","178","00:13:48","162","174","159","182","7:37","5:16","76","62","1.33","0.0","2,190","-4","No","00:05:51.3","2","00:13:47","00:13:48","336","394"
Running,2025-08-28 08:57:38,false,"Fairfax County Running","1.01","70","00:06:03.9","142","158","171","180","6:01","5:34","--","33","1.56","0.0","1,036","-2","No","00:00:01.8","2","00:06:03.0","00:06:03.9","316","361"
Running,2025-08-26 09:20:50,false,"Fairfax County Running","3.20","295","00:23:29","156","173","163","180","7:20","5:56","133","152","1.35","0.0","3,834","-6","No","00:01:25.4","4","00:23:28","00:23:29","292","394"
Running,2025-08-25 09:31:47,false,"Fairfax County Running","3.55","339","00:26:06","162","179","162","186","7:21","5:52","148","148","1.35","0.0","4,210","-9","No","00:04:09.8","4","00:26:02","00:26:06","305","394"
Running,2025-08-23 08:42:32,false,"Fairfax County Running","6.30","621","00:47:26","165","178","161","184","7:31","6:13","208","245","1.33","0.0","7,638","-17","No","00:02:02.9","7","00:47:24","00:47:26","313","394"
Running,2025-08-21 09:34:58,false,"Fairfax County Running","3.91","363","00:29:05","157","174","161","174","7:26","6:09","209","209","1.34","0.0","4,684","-8","No","00:06:40.5","4","00:29:03","00:29:05","292","394"
Running,2025-08-20 10:32:43,false,"Fairfax County Running","2.06","197","00:15:06","164","179","161","199","7:21","4:50","79","74","1.36","0.0","2,428","-5","No","00:00:17.3","3","00:15:04","00:15:06","313","394"
Running,2025-08-20 10:23:53,false,"Fairfax County Running","1.01","70","00:06:25.6","131","140","166","178","6:22","5:45","18","35","1.52","0.0","1,066","-1","No","00:00:02.7","2","00:06:24.9","00:06:25.6","315","360"
Running,2025-08-18 09:42:06,false,"Fairfax County Running","4.06","399","00:32:01","160","176","153","180","7:53","5:46","176","175","1.34","0.0","4,892","-10","No","00:02:08.9","5","00:30:12","00:32:01","305","394"
Running,2025-08-17 09:29:43,false,"Fairfax County Running","0.68","68","00:05:09.5","168","180","157","176","7:38","6:21","51","60","1.34","0.0","834","-2","No","00:05:09.5","1","00:05:04","00:05:09.5","292","358"
Running,2025-08-17 09:05:37,false,"Fairfax County Running","3.12","297","00:23:04","163","178","162","172","7:23","6:26","144","152","1.35","0.0","3,726","-8","No","00:00:54.4","4","00:23:03","00:23:04","305","394"
Running,2025-08-16 10:15:19,false,"Fairfax County Running","0.68","65","00:04:48.3","168","179","161","192","7:05","4:28","10","24","1.41","0.0","774","-1","No","00:04:48.3","1","00:04:48","00:04:48.3","338","381"
Running,2025-08-16 10:06:32,false,"Fairfax County Running","1.10","107","00:07:58.4","168","177","160","167","7:15","6:42","45","--","1.39","0.0","1,268","-3","No","00:00:43.8","2","00:07:57.6","00:07:58.4","340","394"
Running,2025-08-16 09:59:00,false,"Fairfax County Running","1.01","80","00:06:28.0","155","171","167","177","6:25","6:05","--","31","1.51","0.0","1,082","-2","No","00:00:02.7","2","00:06:26.3","00:06:28.0","315","361"
Running,2025-08-12 08:54:35,false,"Fairfax County Running","3.62","357","00:28:47","158","180","150","218","7:57","4:53","152","152","1.35","0.0","4,414","-9","No","00:05:29.1","4","00:28:46","00:28:47","305","394"
Running,2025-08-10 09:48:59,false,"Fairfax County Running","3.57","341","00:26:13","164","181","158","190","7:20","5:25","155","161","1.39","0.0","4,168","-12","No","00:04:33.6","4","00:25:52","00:26:13","305","394"
Running,2025-08-09 10:47:43,false,"Fairfax County Running","3.60","349","00:26:46","165","182","156","194","7:26","4:44","155","155","1.38","0.0","4,206","-11","No","00:05:09.2","4","00:26:06","00:26:46","305","394"
Running,2025-08-07 08:50:18,false,"Bedford County Running","3.68","355","00:28:05","161","181","158","180","7:37","5:52","191","189","1.34","0.0","4,416","-10","No","00:05:11.9","4","00:28:03","00:28:05","794","856"
Running,2025-08-05 15:46:33,false,"Bedford County Running","3.70","340","00:27:33","158","178","159","198","7:27","5:12","188","188","1.36","0.0","4,380","-7","No","00:04:57.2","4","00:27:27","00:27:33","794","856"
Running,2025-08-01 19:14:07,false,"Fairfax County Running","3.56","327","00:26:27","159","175","157","178","7:25","5:44","138","138","1.38","0.0","4,172","-7","No","00:04:03.5","4","00:26:13","00:26:27","304","394"
Running,2025-07-31 09:48:07,false,"Fairfax County Running","3.58","352","00:27:59","163","182","153","205","7:49","5:16","157","162","1.35","0.0","4,300","-13","No","00:04:48.9","4","00:27:37","00:27:59","305","394"
Running,2025-07-30 08:16:49,false,"Fairfax County Running","2.89","271","00:21:07","162","180","159","183","7:18","5:49","98","97","1.38","0.0","3,360","-12","No","00:06:25.5","3","00:21:00","00:21:07","316","394"
Running,2025-07-28 20:17:26,false,"Fairfax County Running","2.93","251","00:22:21","155","177","154","189","7:38","4:34","89","86","1.37","0.0","3,498","-7","No","00:07:03.5","3","00:22:06","00:22:21","316","394"

